A = 6.0828, B = 6.0828, C = 19.0263, EAR = 0.3197 
A = 5.0000, B = 5.0000, C = 18.0278, EAR = 0.2774 
A = 5.0990, B = 5.0000, C = 19.0263, EAR = 0.2654 
A = 5.0990, B = 5.0000, C = 18.0278, EAR = 0.2801 
A = 5.0990, B = 5.0000, C = 19.0263, EAR = 0.2654 
A = 5.0990, B = 5.0000, C = 18.1108, EAR = 0.2788 
A = 5.0990, B = 5.0000, C = 19.0000, EAR = 0.2658 
A = 5.0990, B = 5.0000, C = 18.1108, EAR = 0.2788 
A = 5.0990, B = 5.0000, C = 19.0263, EAR = 0.2654 
A = 6.0828, B = 6.0000, C = 18.0278, EAR = 0.3351 
A = 5.0000, B = 5.0000, C = 19.0263, EAR = 0.2628 
A = 5.0990, B = 5.0000, C = 18.0278, EAR = 0.2801 
A = 5.0990, B = 5.0000, C = 19.0263, EAR = 0.2654 
A = 6.0828, B = 5.0000, C = 18.0278, EAR = 0.3074 
A = 5.0000, B = 5.0000, C = 19.0263, EAR = 0.2628 
A = 5.0990, B = 5.0000, C = 18.1108, EAR = 0.2788 
A = 5.0990, B = 5.0000, C = 19.0263, EAR = 0.2654 
A = 5.0990, B = 5.0000, C = 18.1108, EAR = 0.2788 
A = 5.0000, B = 5.0000, C = 18.0278, EAR = 0.2774 
A = 5.0000, B = 5.0000, C = 17.1172, EAR = 0.2921 
A = 4.0000, B = 5.0990, C = 18.0278, EAR = 0.2524 
A = 5.0000, B = 5.0000, C = 17.1172, EAR = 0.2921 
A = 5.0000, B = 5.0000, C = 18.0278, EAR = 0.2774 
A = 5.0000, B = 5.0000, C = 17.1172, EAR = 0.2921 
A = 5.0000, B = 5.0000, C = 18.0278, EAR = 0.2774 
A = 5.0990, B = 5.0000, C = 18.0278, EAR = 0.2801 
A = 5.0000, B = 5.0990, C = 18.0278, EAR = 0.2801 
A = 5.0990, B = 5.0000, C = 18.1108, EAR = 0.2788 
A = 5.0000, B = 4.0000, C = 18.0000, EAR = 0.2500 
A = 5.0000, B = 5.0000, C = 18.1108, EAR = 0.2761 
A = 5.0000, B = 4.0000, C = 18.0000, EAR = 0.2500 
A = 5.0000, B = 5.0990, C = 17.1172, EAR = 0.2950 
A = 4.0000, B = 5.0000, C = 18.0278, EAR = 0.2496 
A = 5.0000, B = 5.0000, C = 17.0294, EAR = 0.2936 
A = 4.1231, B = 5.0000, C = 19.0263, EAR = 0.2397 
A = 5.0000, B = 5.0000, C = 17.0294, EAR = 0.2936 
A = 5.0990, B = 4.0000, C = 19.0263, EAR = 0.2391 
A = 5.0000, B = 5.0000, C = 17.0294, EAR = 0.2936 
A = 5.0990, B = 4.0000, C = 19.0263, EAR = 0.2391 
A = 5.0000, B = 4.0000, C = 18.0278, EAR = 0.2496 
A = 5.0000, B = 4.0000, C = 19.0000, EAR = 0.2368 
A = 4.0000, B = 5.0000, C = 17.0294, EAR = 0.2642 
A = 5.0000, B = 4.0000, C = 19.0000, EAR = 0.2368 
A = 5.0990, B = 4.0000, C = 18.0278, EAR = 0.2524 
A = 5.0000, B = 5.0000, C = 19.0263, EAR = 0.2628 
A = 5.0990, B = 4.0000, C = 18.0278, EAR = 0.2524 
A = 5.0000, B = 4.1231, C = 19.0000, EAR = 0.2401 
A = 4.1231, B = 4.0000, C = 18.0278, EAR = 0.2253 
A = 5.0000, B = 4.0000, C = 18.0000, EAR = 0.2500 
A = 5.0990, B = 5.0990, C = 18.0278, EAR = 0.2828 
A = 4.0000, B = 5.0990, C = 18.0278, EAR = 0.2524 
A = 5.0000, B = 5.0990, C = 18.0278, EAR = 0.2801 
A = 4.0000, B = 5.0000, C = 18.0278, EAR = 0.2496 
A = 5.0000, B = 5.0990, C = 17.0294, EAR = 0.2965 
A = 4.0000, B = 5.0000, C = 18.0278, EAR = 0.2496 
A = 5.0000, B = 5.0990, C = 17.1172, EAR = 0.2950 
A = 4.0000, B = 5.0000, C = 18.0278, EAR = 0.2496 
A = 5.0000, B = 5.0000, C = 17.1172, EAR = 0.2921 
A = 5.0000, B = 5.0990, C = 18.0278, EAR = 0.2801 
A = 5.0000, B = 5.0000, C = 17.0294, EAR = 0.2936 
A = 5.0000, B = 6.0828, C = 18.0278, EAR = 0.3074 
A = 5.0000, B = 5.0000, C = 17.1172, EAR = 0.2921 
A = 5.0990, B = 6.0000, C = 18.0278, EAR = 0.3078 
A = 6.0000, B = 5.0000, C = 17.1172, EAR = 0.3213 
A = 5.0000, B = 6.0828, C = 19.1050, EAR = 0.2900 
A = 6.0828, B = 5.0990, C = 17.1172, EAR = 0.3266 
A = 6.0000, B = 6.0000, C = 19.1050, EAR = 0.3141 
A = 6.0000, B = 5.0990, C = 18.1108, EAR = 0.3064 
A = 6.0828, B = 6.0828, C = 19.1050, EAR = 0.3184 
A = 6.0000, B = 5.0990, C = 18.1108, EAR = 0.3064 
A = 6.0828, B = 6.0828, C = 18.1108, EAR = 0.3359 
A = 6.0000, B = 5.0990, C = 18.1108, EAR = 0.3064 
A = 6.0828, B = 6.0828, C = 19.1050, EAR = 0.3184 
A = 6.0000, B = 5.0000, C = 18.0278, EAR = 0.3051 
A = 6.0000, B = 6.0000, C = 19.1050, EAR = 0.3141 
A = 7.0000, B = 5.0990, C = 18.1108, EAR = 0.3340 
A = 6.0828, B = 6.0828, C = 19.1050, EAR = 0.3184 
A = 7.0000, B = 6.0000, C = 18.1108, EAR = 0.3589 
A = 6.0828, B = 6.0828, C = 18.1108, EAR = 0.3359 
A = 6.0000, B = 5.0990, C = 18.0278, EAR = 0.3078 
A = 6.0828, B = 6.0828, C = 19.0263, EAR = 0.3197 
A = 6.0828, B = 6.0000, C = 18.1108, EAR = 0.3336 
A = 6.0828, B = 6.0828, C = 19.1050, EAR = 0.3184 
A = 6.0000, B = 6.0828, C = 18.2483, EAR = 0.3311 
A = 6.0828, B = 6.0828, C = 19.0263, EAR = 0.3197 
A = 6.0000, B = 6.0828, C = 18.1108, EAR = 0.3336 
A = 7.0711, B = 6.0828, C = 19.0263, EAR = 0.3457 
A = 6.0000, B = 5.0000, C = 17.0294, EAR = 0.3230 
A = 6.0828, B = 6.0828, C = 19.1050, EAR = 0.3184 
A = 7.0000, B = 6.0828, C = 18.1108, EAR = 0.3612 
A = 6.0000, B = 6.0828, C = 19.1050, EAR = 0.3162 
A = 6.0000, B = 5.0990, C = 18.1108, EAR = 0.3064 
A = 6.0828, B = 6.0828, C = 19.0263, EAR = 0.3197 
A = 7.0000, B = 6.0828, C = 18.1108, EAR = 0.3612 
A = 6.0828, B = 6.0828, C = 18.1108, EAR = 0.3359 
A = 7.0000, B = 6.0828, C = 17.1172, EAR = 0.3822 
A = 6.0828, B = 6.0828, C = 19.0263, EAR = 0.3197 
A = 6.0000, B = 6.0828, C = 18.1108, EAR = 0.3336 
A = 6.0828, B = 6.0828, C = 19.0263, EAR = 0.3197 
A = 6.0828, B = 6.0000, C = 18.1108, EAR = 0.3336 
A = 6.0828, B = 6.0828, C = 19.0263, EAR = 0.3197 
A = 7.0000, B = 6.0828, C = 18.1108, EAR = 0.3612 
A = 6.0000, B = 6.0828, C = 19.0263, EAR = 0.3175 
A = 7.0711, B = 6.0828, C = 18.1108, EAR = 0.3631 
A = 6.0000, B = 6.0000, C = 19.0263, EAR = 0.3154 
A = 6.0000, B = 6.0828, C = 18.1108, EAR = 0.3336 
A = 5.0000, B = 6.0828, C = 19.1050, EAR = 0.2900 
A = 6.0000, B = 6.0828, C = 18.1108, EAR = 0.3336 
A = 6.0828, B = 6.0828, C = 19.1050, EAR = 0.3184 
A = 6.0000, B = 6.0828, C = 18.1108, EAR = 0.3336 
A = 6.0828, B = 6.0828, C = 18.1108, EAR = 0.3359 
A = 6.0000, B = 5.0990, C = 18.1108, EAR = 0.3064 
A = 7.0711, B = 6.0828, C = 19.0263, EAR = 0.3457 
A = 6.0000, B = 6.0828, C = 18.1108, EAR = 0.3336 
A = 6.0828, B = 6.0828, C = 18.0278, EAR = 0.3374 
A = 6.0000, B = 5.0990, C = 18.1108, EAR = 0.3064 
A = 6.0000, B = 6.0828, C = 19.0263, EAR = 0.3175 
A = 6.0000, B = 6.0828, C = 18.1108, EAR = 0.3336 
A = 6.0000, B = 6.0000, C = 19.0263, EAR = 0.3154 
A = 7.0000, B = 6.0828, C = 18.1108, EAR = 0.3612 
A = 6.0828, B = 6.0828, C = 19.0263, EAR = 0.3197 
A = 6.0000, B = 6.0828, C = 18.1108, EAR = 0.3336 
A = 6.0828, B = 6.0828, C = 19.0263, EAR = 0.3197 
A = 6.0000, B = 6.0828, C = 18.1108, EAR = 0.3336 
A = 6.0000, B = 6.0828, C = 19.0263, EAR = 0.3175 
A = 6.0000, B = 6.0828, C = 18.1108, EAR = 0.3336 
A = 6.0000, B = 6.0000, C = 19.1050, EAR = 0.3141 
A = 6.0000, B = 5.0990, C = 18.1108, EAR = 0.3064 
A = 6.0828, B = 6.0000, C = 18.1108, EAR = 0.3336 
A = 6.0828, B = 5.0000, C = 17.0294, EAR = 0.3254 
A = 6.0000, B = 5.0990, C = 18.0278, EAR = 0.3078 
A = 6.0828, B = 6.0000, C = 17.1172, EAR = 0.3529 
A = 6.0000, B = 6.0828, C = 19.0263, EAR = 0.3175 
A = 6.0000, B = 5.0990, C = 18.1108, EAR = 0.3064 
A = 6.0000, B = 5.0000, C = 19.0263, EAR = 0.2891 
A = 6.0000, B = 5.0990, C = 18.1108, EAR = 0.3064 
A = 6.0828, B = 6.0000, C = 19.1050, EAR = 0.3162 
A = 6.0000, B = 6.0828, C = 18.2483, EAR = 0.3311 
A = 6.0000, B = 6.0000, C = 19.1050, EAR = 0.3141 
A = 6.0000, B = 6.0000, C = 18.1108, EAR = 0.3313 
A = 6.0828, B = 6.0000, C = 19.0263, EAR = 0.3175 
A = 6.0828, B = 5.0000, C = 18.1108, EAR = 0.3060 
A = 5.0000, B = 5.0000, C = 19.0263, EAR = 0.2628 
A = 5.0990, B = 5.0000, C = 18.1108, EAR = 0.2788 
A = 6.0000, B = 5.0000, C = 19.0263, EAR = 0.2891 
A = 6.0828, B = 6.0000, C = 18.1108, EAR = 0.3336 
A = 5.0000, B = 5.0000, C = 19.0263, EAR = 0.2628 
A = 6.0828, B = 6.0000, C = 18.1108, EAR = 0.3336 
A = 5.0000, B = 5.0000, C = 19.0263, EAR = 0.2628 
A = 6.0828, B = 6.0000, C = 18.1108, EAR = 0.3336 
A = 5.0990, B = 5.0000, C = 19.0263, EAR = 0.2654 
A = 5.0000, B = 5.0000, C = 18.0278, EAR = 0.2774 
A = 6.0828, B = 6.0000, C = 19.0263, EAR = 0.3175 
A = 6.0828, B = 6.0000, C = 18.1108, EAR = 0.3336 
A = 6.0000, B = 6.0000, C = 19.0263, EAR = 0.3154 
A = 7.0711, B = 7.0000, C = 18.1108, EAR = 0.3885 
A = 6.0828, B = 5.0000, C = 19.1050, EAR = 0.2900 
A = 6.0828, B = 5.0000, C = 18.2483, EAR = 0.3037 
A = 6.0828, B = 5.0000, C = 19.0263, EAR = 0.2912 
A = 6.0828, B = 5.0000, C = 18.2483, EAR = 0.3037 
A = 6.0828, B = 5.0000, C = 19.0263, EAR = 0.2912 
A = 5.0990, B = 5.0000, C = 18.1108, EAR = 0.2788 
A = 6.0828, B = 5.0990, C = 18.0278, EAR = 0.3101 
A = 5.0990, B = 5.0000, C = 18.1108, EAR = 0.2788 
A = 6.0828, B = 7.0711, C = 19.0263, EAR = 0.3457 
A = 7.0711, B = 6.0000, C = 18.1108, EAR = 0.3609 
A = 6.0828, B = 6.0828, C = 19.0263, EAR = 0.3197 
A = 6.0828, B = 6.0000, C = 18.1108, EAR = 0.3336 
A = 6.0828, B = 6.0000, C = 19.0263, EAR = 0.3175 
A = 6.0828, B = 5.0000, C = 18.2483, EAR = 0.3037 
A = 6.0828, B = 6.0828, C = 19.1050, EAR = 0.3184 
A = 6.0828, B = 6.0828, C = 18.2483, EAR = 0.3333 
A = 6.0828, B = 6.0828, C = 19.1050, EAR = 0.3184 
A = 6.0828, B = 6.0000, C = 18.1108, EAR = 0.3336 
A = 6.0828, B = 6.0828, C = 19.1050, EAR = 0.3184 
A = 6.0828, B = 6.0000, C = 18.1108, EAR = 0.3336 
A = 6.0828, B = 6.0000, C = 19.1050, EAR = 0.3162 
A = 6.0828, B = 7.0000, C = 18.1108, EAR = 0.3612 
A = 6.0828, B = 6.0828, C = 19.1050, EAR = 0.3184 
A = 6.0000, B = 5.0000, C = 18.1108, EAR = 0.3037 
A = 6.0828, B = 6.0000, C = 19.1050, EAR = 0.3162 
A = 6.0000, B = 7.0000, C = 18.1108, EAR = 0.3589 
A = 5.0000, B = 6.0000, C = 19.1050, EAR = 0.2879 
A = 6.0000, B = 6.0828, C = 18.1108, EAR = 0.3336 
A = 6.0828, B = 6.0000, C = 19.1050, EAR = 0.3162 
A = 7.0000, B = 6.0000, C = 18.1108, EAR = 0.3589 
A = 5.0990, B = 6.0000, C = 19.0263, EAR = 0.2917 
A = 7.0000, B = 6.0828, C = 18.1108, EAR = 0.3612 
A = 5.0990, B = 6.0000, C = 19.0263, EAR = 0.2917 
A = 6.0000, B = 6.0828, C = 18.1108, EAR = 0.3336 
A = 6.0828, B = 6.0828, C = 19.1050, EAR = 0.3184 
A = 6.0828, B = 6.0000, C = 18.2483, EAR = 0.3311 
A = 6.0828, B = 6.0828, C = 19.0263, EAR = 0.3197 
A = 7.0711, B = 7.0000, C = 18.2483, EAR = 0.3855 
A = 5.0990, B = 6.0828, C = 19.0263, EAR = 0.2939 
A = 6.0000, B = 6.0000, C = 18.1108, EAR = 0.3313 
A = 5.0990, B = 6.0828, C = 19.0263, EAR = 0.2939 
A = 6.0000, B = 6.0000, C = 18.1108, EAR = 0.3313 
A = 6.0828, B = 6.0828, C = 19.0263, EAR = 0.3197 
A = 6.0000, B = 6.0000, C = 18.1108, EAR = 0.3313 
A = 5.0990, B = 6.0000, C = 19.0263, EAR = 0.2917 
A = 6.0000, B = 6.0828, C = 18.1108, EAR = 0.3336 
A = 6.0828, B = 6.0000, C = 19.0263, EAR = 0.3175 
A = 6.0000, B = 6.0828, C = 18.1108, EAR = 0.3336 
A = 5.0000, B = 4.0000, C = 18.0278, EAR = 0.2496 
A = 4.0000, B = 4.0000, C = 17.0294, EAR = 0.2349 
A = 3.0000, B = 3.0000, C = 18.0000, EAR = 0.1667 
A = 3.0000, B = 3.0000, C = 17.0294, EAR = 0.1762 
A = 3.0000, B = 2.0000, C = 18.0000, EAR = 0.1389 
A = 3.1623, B = 3.0000, C = 17.0000, EAR = 0.1812 
A = 2.0000, B = 3.0000, C = 18.0278, EAR = 0.1387 
A = 3.0000, B = 2.0000, C = 17.0294, EAR = 0.1468 
A = 4.0000, B = 3.1623, C = 19.0263, EAR = 0.1882 
A = 3.0000, B = 3.0000, C = 17.0000, EAR = 0.1765 
A = 3.1623, B = 3.1623, C = 18.0000, EAR = 0.1757 
A = 4.1231, B = 4.0000, C = 18.0278, EAR = 0.2253 
A = 4.0000, B = 4.1231, C = 18.0000, EAR = 0.2256 
A = 4.0000, B = 4.0000, C = 18.0278, EAR = 0.2219 
A = 4.1231, B = 5.0000, C = 18.0278, EAR = 0.2530 
A = 5.0000, B = 5.0000, C = 18.0000, EAR = 0.2778 
A = 5.0990, B = 5.0000, C = 18.0278, EAR = 0.2801 
A = 5.0000, B = 5.0990, C = 18.0278, EAR = 0.2801 
A = 5.0990, B = 5.0000, C = 18.0278, EAR = 0.2801 
A = 4.0000, B = 4.0000, C = 18.0278, EAR = 0.2219 
A = 4.1231, B = 5.0000, C = 18.0278, EAR = 0.2530 
A = 5.0000, B = 5.0000, C = 18.1108, EAR = 0.2761 
A = 4.1231, B = 4.0000, C = 18.0278, EAR = 0.2253 
A = 5.0000, B = 5.0000, C = 17.1172, EAR = 0.2921 
A = 4.1231, B = 4.0000, C = 18.0278, EAR = 0.2253 
A = 5.0000, B = 5.0000, C = 18.1108, EAR = 0.2761 
A = 4.1231, B = 4.1231, C = 18.0278, EAR = 0.2287 
A = 5.0000, B = 5.0000, C = 18.1108, EAR = 0.2761 
A = 4.1231, B = 5.0000, C = 18.0278, EAR = 0.2530 
A = 5.0000, B = 5.0000, C = 18.1108, EAR = 0.2761 
A = 4.1231, B = 5.0000, C = 18.0278, EAR = 0.2530 
A = 5.0000, B = 5.0000, C = 17.1172, EAR = 0.2921 
A = 4.0000, B = 5.0000, C = 18.0278, EAR = 0.2496 
A = 5.0000, B = 5.0000, C = 18.1108, EAR = 0.2761 
A = 5.0000, B = 4.1231, C = 19.0263, EAR = 0.2397 
A = 5.0990, B = 5.0990, C = 18.0278, EAR = 0.2828 
A = 5.0000, B = 5.0990, C = 18.0278, EAR = 0.2801 
A = 5.0000, B = 5.0990, C = 17.0294, EAR = 0.2965 
A = 5.0000, B = 5.0000, C = 19.0263, EAR = 0.2628 
A = 5.0000, B = 5.0000, C = 17.0294, EAR = 0.2936 
A = 5.0000, B = 5.0000, C = 19.0263, EAR = 0.2628 
A = 5.0990, B = 5.0000, C = 18.0278, EAR = 0.2801 
A = 5.0000, B = 4.1231, C = 18.0278, EAR = 0.2530 
A = 5.0990, B = 5.0000, C = 18.1108, EAR = 0.2788 
A = 4.0000, B = 5.0990, C = 18.0278, EAR = 0.2524 
A = 5.0990, B = 5.0000, C = 18.1108, EAR = 0.2788 
A = 4.0000, B = 5.0990, C = 18.0278, EAR = 0.2524 
A = 5.0990, B = 5.0990, C = 18.1108, EAR = 0.2815 
A = 4.0000, B = 4.1231, C = 18.0278, EAR = 0.2253 
A = 5.0990, B = 5.0000, C = 18.0278, EAR = 0.2801 
A = 5.0000, B = 5.0990, C = 18.0278, EAR = 0.2801 
A = 5.0000, B = 5.0990, C = 18.1108, EAR = 0.2788 
A = 5.0000, B = 5.0990, C = 19.0263, EAR = 0.2654 
A = 5.0990, B = 5.0000, C = 18.1108, EAR = 0.2788 
A = 5.0000, B = 5.0990, C = 19.0263, EAR = 0.2654 
A = 5.0990, B = 4.0000, C = 18.0278, EAR = 0.2524 
A = 5.0000, B = 5.0990, C = 19.1050, EAR = 0.2643 
A = 6.0828, B = 6.0000, C = 18.0278, EAR = 0.3351 
A = 5.0000, B = 5.0990, C = 19.1050, EAR = 0.2643 
A = 6.0000, B = 6.0828, C = 18.0278, EAR = 0.3351 
A = 5.0000, B = 5.0990, C = 18.0278, EAR = 0.2801 
A = 5.0990, B = 5.0990, C = 18.0278, EAR = 0.2828 
A = 5.0000, B = 5.0000, C = 18.0278, EAR = 0.2774 
A = 6.0000, B = 5.0000, C = 17.0294, EAR = 0.3230 
A = 6.0000, B = 5.0990, C = 19.1050, EAR = 0.2905 
A = 6.0828, B = 5.0000, C = 17.0294, EAR = 0.3254 
A = 5.0000, B = 5.0990, C = 19.0263, EAR = 0.2654 
A = 5.0000, B = 5.0990, C = 17.1172, EAR = 0.2950 
A = 5.0000, B = 5.0990, C = 19.0263, EAR = 0.2654 
A = 6.0000, B = 5.0990, C = 18.1108, EAR = 0.3064 
A = 5.0000, B = 5.0000, C = 19.0263, EAR = 0.2628 
A = 6.0828, B = 5.0000, C = 17.1172, EAR = 0.3237 
A = 5.0000, B = 5.0990, C = 19.0263, EAR = 0.2654 
A = 6.0828, B = 6.0000, C = 17.1172, EAR = 0.3529 
A = 5.0000, B = 5.0000, C = 18.0278, EAR = 0.2774 
A = 6.0828, B = 5.0000, C = 17.1172, EAR = 0.3237 
A = 6.0000, B = 6.0828, C = 19.0263, EAR = 0.3175 
A = 6.0000, B = 5.0000, C = 18.0278, EAR = 0.3051 
A = 6.0000, B = 6.0828, C = 19.1050, EAR = 0.3162 
A = 6.0828, B = 6.0000, C = 17.1172, EAR = 0.3529 
A = 6.0000, B = 6.0000, C = 18.1108, EAR = 0.3313 
A = 5.0990, B = 5.0990, C = 18.1108, EAR = 0.2815 
A = 6.0000, B = 6.0000, C = 19.1050, EAR = 0.3141 
A = 5.0000, B = 5.0990, C = 18.0278, EAR = 0.2801 
A = 6.0000, B = 6.0828, C = 19.0263, EAR = 0.3175 
A = 6.0000, B = 5.0000, C = 17.0294, EAR = 0.3230 
A = 5.0000, B = 5.0990, C = 19.0263, EAR = 0.2654 
A = 6.0828, B = 6.0000, C = 17.1172, EAR = 0.3529 
A = 6.0000, B = 6.0000, C = 19.1050, EAR = 0.3141 
A = 6.0828, B = 6.0000, C = 17.1172, EAR = 0.3529 
A = 6.0000, B = 5.0990, C = 19.0263, EAR = 0.2917 
A = 6.0828, B = 6.0000, C = 17.1172, EAR = 0.3529 
A = 6.0000, B = 5.0000, C = 19.0263, EAR = 0.2891 
A = 6.0828, B = 6.0000, C = 18.1108, EAR = 0.3336 
A = 6.0000, B = 6.0000, C = 18.0278, EAR = 0.3328 
A = 5.0990, B = 5.0000, C = 17.1172, EAR = 0.2950 
A = 5.0000, B = 5.0990, C = 18.0278, EAR = 0.2801 
A = 5.0000, B = 4.0000, C = 18.0278, EAR = 0.2496 
A = 4.0000, B = 4.1231, C = 18.0278, EAR = 0.2253 
A = 5.0990, B = 5.0000, C = 18.1108, EAR = 0.2788 
A = 5.0000, B = 4.1231, C = 19.0263, EAR = 0.2397 
A = 5.0000, B = 5.0990, C = 18.1108, EAR = 0.2788 
A = 4.0000, B = 4.0000, C = 18.0278, EAR = 0.2219 
A = 5.0000, B = 5.0990, C = 18.1108, EAR = 0.2788 
A = 4.0000, B = 5.0990, C = 19.0263, EAR = 0.2391 
A = 5.0990, B = 5.0000, C = 18.1108, EAR = 0.2788 
A = 4.0000, B = 4.1231, C = 18.0278, EAR = 0.2253 
A = 5.0990, B = 5.0000, C = 18.1108, EAR = 0.2788 
A = 5.0000, B = 4.1231, C = 19.0000, EAR = 0.2401 
A = 5.0990, B = 4.1231, C = 18.0278, EAR = 0.2558 
A = 4.0000, B = 4.1231, C = 18.0278, EAR = 0.2253 
A = 5.0000, B = 5.0000, C = 18.0278, EAR = 0.2774 
A = 5.0000, B = 4.0000, C = 19.0263, EAR = 0.2365 
A = 5.0000, B = 4.0000, C = 18.0278, EAR = 0.2496 
A = 4.0000, B = 5.0990, C = 18.0278, EAR = 0.2524 
A = 5.0000, B = 5.0000, C = 17.1172, EAR = 0.2921 
A = 5.0000, B = 5.0990, C = 18.0278, EAR = 0.2801 
A = 4.0000, B = 4.0000, C = 18.1108, EAR = 0.2209 
A = 5.0000, B = 4.1231, C = 18.0000, EAR = 0.2534 
A = 5.0990, B = 4.0000, C = 18.0278, EAR = 0.2524 
A = 5.0000, B = 5.0990, C = 18.0278, EAR = 0.2801 
A = 4.1231, B = 4.0000, C = 18.0278, EAR = 0.2253 
A = 5.0000, B = 5.0990, C = 18.0278, EAR = 0.2801 
A = 4.1231, B = 4.1231, C = 18.0278, EAR = 0.2287 
A = 4.0000, B = 5.0990, C = 18.0278, EAR = 0.2524 
A = 5.0000, B = 5.0000, C = 18.1108, EAR = 0.2761 
A = 4.0000, B = 4.1231, C = 18.0278, EAR = 0.2253 
A = 5.0000, B = 4.0000, C = 18.0278, EAR = 0.2496 
A = 3.0000, B = 4.0000, C = 18.0278, EAR = 0.1941 
A = 4.0000, B = 4.0000, C = 17.0294, EAR = 0.2349 
A = 3.0000, B = 2.2361, C = 18.0278, EAR = 0.1452 
